12-18 15:42:37.966 INFO  [main] [com.zebra.common.concurrent.ZebraExecutorManager] : Initialize executorGroup size 0
12-18 15:42:37.981 INFO  [main] [com.petrel.chess.StartAfterInitialize] : StartAfter send register msg ServerRegistryRequest(serverId=chess:127.0.0.1:9637, appName=petrel-game-chess, inIp=127.0.0.1, port=9637, vfx=SHBZ, gameType=2, outIp=116.62.162.42, weight=50)
12-18 15:42:38.563 INFO  [main] [com.netflix.config.ChainedDynamicProperty] : Flipping property: petrel-kernel-register.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
12-18 15:42:38.579 INFO  [main] [com.netflix.loadbalancer.BaseLoadBalancer] : Client: petrel-kernel-register instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=petrel-kernel-register,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
12-18 15:42:38.594 INFO  [main] [c.n.loadbalancer.DynamicServerListLoadBalancer] : Using serverListUpdater PollingServerListUpdater
12-18 15:42:38.642 INFO  [main] [com.netflix.config.ChainedDynamicProperty] : Flipping property: petrel-kernel-register.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
12-18 15:42:38.642 INFO  [main] [c.n.loadbalancer.DynamicServerListLoadBalancer] : DynamicServerListLoadBalancer for client petrel-kernel-register initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=petrel-kernel-register,current list of Servers=[172.19.48.88:7180],Load balancer stats=Zone stats: {unknown=[Zone:unknown;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:172.19.48.88:7180;	Zone:UNKNOWN;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:com.alibaba.cloud.nacos.ribbon.NacosServerList@3277e499
12-18 15:42:38.721 INFO  [Zebra-boss-68-thread-1] [io.netty.handler.logging.LoggingHandler] : [id: 0xbedf6a5f, L:/0:0:0:0:0:0:0:0:9637] READ: [id: 0x0beef4b2, L:/127.0.0.1:9637 - R:/127.0.0.1:53258]
12-18 15:42:38.721 INFO  [Zebra-boss-68-thread-1] [io.netty.handler.logging.LoggingHandler] : [id: 0xbedf6a5f, L:/0:0:0:0:0:0:0:0:9637] READ COMPLETE
12-18 15:42:38.736 INFO  [Zebra-worker-67-thread-1] [com.zebra.net.servers.ZebraConnectionHandler] : Connection channel active: 127.0.0.1:53258
12-18 15:42:38.752 INFO  [Zebra-worker-67-thread-1] [com.zebra.rpc.register.ServerRegistryService] : Server serverOnline server process server online chess:127.0.0.1:9637 
12-18 15:42:38.767 INFO  [Zebra-worker-67-thread-1] [com.zebra.net.servers.ZebraConnectionHandler] : Handler register message Session(channel=[id: 0x0beef4b2, L:/127.0.0.1:9637 - R:/127.0.0.1:53258], userId=88480808, isWeakClose=false, checkId=0, roomId=0, serverId=chess:127.0.0.1:9637, vfx=null)
12-18 15:42:39.600 INFO  [PollingServerListUpdater-0] [com.netflix.config.ChainedDynamicProperty] : Flipping property: petrel-kernel-register.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
