11-09 19:14:35.621 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.petrel.slots.core.common.provide.GameFeignService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-09 19:14:35.624 INFO  [main] [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] : Bean 'com.petrel.slots.core.common.provide.ServerRegisterFeignService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-09 19:14:37.515 INFO  [main] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Initializing ExecutorService 'taskScheduler'
11-09 19:14:37.871 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
11-09 19:14:37.871 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-09 19:14:37.878 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
11-09 19:14:37.878 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-09 19:14:39.570 INFO  [main] [com.petrel.slots.all.AllApplication] : Started AllApplication in 8.366 seconds (JVM running for 9.347)
11-09 19:14:39.638 INFO  [main] [c.p.s.c.c.handler.InitializePlayHandlerMapping] : Initialize BetHandler success 78 
11-09 19:14:39.969 INFO  [main] [io.lettuce.core.EpollProvider] : Starting with epoll library
11-09 19:14:39.977 INFO  [main] [io.lettuce.core.KqueueProvider] : Starting without optional kqueue library
11-09 19:14:46.785 INFO  [main] [com.petrel.slots.core.common.quarze.PushJackpot] : start jackpot-push future , fixed second : 0
