12-18 15:41:50.107 INFO  [main] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring embedded WebApplicationContext
12-18 15:41:50.107 INFO  [main] [org.springframework.web.context.ContextLoader] : Root WebApplicationContext: initialization completed in 2228 ms
12-18 15:41:51.709 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-1,petrel_core} inited
12-18 15:41:51.725 INFO  [main] [com.alibaba.druid.pool.DruidDataSource] : {dataSource-2,petrel_record} inited
12-18 15:41:51.725 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_record] success
12-18 15:41:51.725 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource - load a datasource named [petrel_core] success
12-18 15:41:51.725 INFO  [main] [c.b.dynamic.datasource.DynamicRoutingDataSource] : dynamic-datasource initial loaded [2] datasource,primary datasource named [petrel_core]
12-18 15:41:53.854 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-lobby-user-config.yaml', groupId='DEFAULT_GROUP', beanName='lobbyConfig', bean='LobbyUserConfig(gidLen=8, gidStart=0, registerNumber=0, signPlays=200, signDays=28, signDaysHalf=14, signGold=15, signHalf=30, signAll=60)', beanType='class com.petrel.user.config.LobbyUserConfig', annotatedElement='class com.petrel.user.config.LobbyUserConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-lobby-user-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349313852'
12-18 15:41:53.890 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-lobby-gold-config.yaml', groupId='DEFAULT_GROUP', beanName='goldBankConfig', bean='GoldBankConfig(transfer=1, traPre=2, traReceivePre=100, norTra=0, norMin=1650000, vipMin=10000, maxHoldGold=100000, vip2vip=9, changeVip=1, vip7=0,1)', beanType='class com.petrel.user.config.GoldBankConfig', annotatedElement='class com.petrel.user.config.GoldBankConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-lobby-gold-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349313889'
12-18 15:41:54.080 INFO  [main] [c.a.n.s.c.e.LoggingNacosConfigMetadataEventListener] : Nacos Config Metadata : dataId='petrel-lobby-gold-config.yaml', groupId='DEFAULT_GROUP', beanName='cardRestrictConfig', bean='CardRestrictConfig(goldRestrict=100000, oncePresent=1, simulatorRestrict=1, notTel=0, notInTransfer=0, playRestrict=0, vipPresent=100, vipNotVip=1)', beanType='class com.petrel.user.config.CardRestrictConfig', annotatedElement='class com.petrel.user.config.CardRestrictConfig', xmlResource='null', nacosProperties='{password=nacos, serverAddr=127.0.0.1:6878, encode=UTF-8, username=nacos}', nacosPropertiesAttributes='{accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}}', source='@com.alibaba.nacos.api.config.annotation.NacosConfigurationProperties(autoRefreshed=true, dataId=petrel-lobby-gold-config.yaml, exceptionIfInvalid=true, groupId=DEFAULT_GROUP, ignoreInvalidFields=false, ignoreNestedProperties=false, ignoreUnknownFields=true, prefix=, properties=@com.alibaba.nacos.api.annotation.NacosProperties(accessKey=${nacos.access-key:}, clusterName=${nacos.cluster-name:}, configLongPollTimeout=${nacos.configLongPollTimeout:}, configRetryTime=${nacos.configRetryTime:}, contextPath=${nacos.context-path:}, enableRemoteSyncConfig=${nacos.enableRemoteSyncConfig:}, encode=${nacos.encode:UTF-8}, endpoint=${nacos.endpoint:}, maxRetry=${nacos.maxRetry:}, namespace=${nacos.namespace:}, password=${nacos.password:}, secretKey=${nacos.secret-key:}, serverAddr=${nacos.server-addr:}, username=${nacos.username:}), type=YAML, yaml=false)', timestamp='1671349314080'
12-18 15:41:54.298 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:41:54.298 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:41:54.298 WARN  [main] [com.netflix.config.sources.URLConfigurationSource] : No URLs will be polled as dynamic configuration sources.
12-18 15:41:54.298 INFO  [main] [com.netflix.config.sources.URLConfigurationSource] : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
12-18 15:41:54.790 INFO  [main] [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] : Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
12-18 15:41:55.472 INFO  [main] [o.s.b.actuate.endpoint.web.EndpointLinksResolver] : Exposing 18 endpoint(s) beneath base path '/actuator'
12-18 15:41:55.640 INFO  [main] [o.s.boot.web.embedded.tomcat.TomcatWebServer] : Tomcat started on port(s): 8719 (http) with context path ''
12-18 15:41:55.749 INFO  [main] [c.a.cloud.nacos.registry.NacosServiceRegistry] : nacos registry, DEFAULT_GROUP petrel-kernel-user 172.19.48.88:8719 register finished
12-18 15:41:55.780 INFO  [main] [com.petrel.user.UserApplication] : Started UserApplication in 8.939 seconds (JVM running for 9.405)
12-18 15:41:55.780 INFO  [main] [com.petrel.user.config.StartInitialize] : Start init NickName config success
12-18 16:32:40.039 INFO  [http-nio-8719-exec-1] [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] : Initializing Spring DispatcherServlet 'dispatcherServlet'
12-18 16:32:40.039 INFO  [http-nio-8719-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Initializing Servlet 'dispatcherServlet'
12-18 16:32:40.055 INFO  [http-nio-8719-exec-1] [org.springframework.web.servlet.DispatcherServlet] : Completed initialization in 16 ms
12-18 16:32:40.164 INFO  [http-nio-8719-exec-1] [com.petrel.user.controller.LoginRegisterController] : loginGuest: LoginRequest(userLoginType=MAC, uid=485963265035, acc=null, password=null, devicesType=1, ip=null, mac=cec1bc18-0576-473a-bac8-56f148049b331b6e40b2c45887a2ff754719452c05d9, wxOpenId=null, wxName=null, serverId=lobby:127.0.0.1:9879)
12-18 16:32:40.432 INFO  [http-nio-8719-exec-1] [io.lettuce.core.EpollProvider] : Starting without optional epoll library
12-18 16:32:40.432 INFO  [http-nio-8719-exec-1] [io.lettuce.core.KqueueProvider] : Starting without optional kqueue library
12-18 16:32:46.421 INFO  [http-nio-8719-exec-5] [com.petrel.user.controller.LoginRegisterController] : Lobby Exit: 485963265035 5
12-18 16:32:46.437 ERROR [http-nio-8719-exec-5] [com.petrel.user.service.LoginService] : USER logout not exit uid 485963265035 disconnection 1 exitType Switch 
12-18 16:33:09.187 INFO  [http-nio-8719-exec-2] [com.petrel.user.controller.LoginRegisterController] : loginGuest: LoginRequest(userLoginType=MAC, uid=485963265035, acc=null, password=null, devicesType=1, ip=null, mac=cec1bc18-0576-473a-bac8-56f148049b331b6e40b2c45887a2ff754719452c05d9, wxOpenId=null, wxName=null, serverId=lobby:127.0.0.1:9879)
12-18 16:33:19.440 INFO  [http-nio-8719-exec-6] [com.petrel.user.controller.LoginRegisterController] : Lobby Exit: 485963265035 5
12-18 16:33:19.440 ERROR [http-nio-8719-exec-6] [com.petrel.user.service.LoginService] : USER logout not exit uid 485963265035 disconnection 1 exitType Switch 
12-18 17:03:46.052 INFO  [http-nio-8719-exec-3] [com.petrel.user.controller.LoginRegisterController] : Lobby Exit: 485963265035 3
12-18 22:05:37.198 INFO  [http-nio-8719-exec-7] [com.petrel.user.controller.LoginRegisterController] : loginGuest: LoginRequest(userLoginType=MAC, uid=0, acc=null, password=null, devicesType=1, ip=127.0.0.2, mac=2c59e16b-20e6-423d-888c-038ebb39fc5febdde248fe8ccc9ff64178f9b9e01733, wxOpenId=null, wxName=null, serverId=lobby:127.0.0.1:9879)
12-18 22:05:42.592 INFO  [http-nio-8719-exec-9] [com.petrel.user.controller.LoginRegisterController] : Lobby Exit: 423944527471 5
12-18 22:05:42.592 ERROR [http-nio-8719-exec-9] [com.petrel.user.service.LoginService] : USER logout not exit uid 423944527471 disconnection 1 exitType Switch 
12-18 22:35:58.070 INFO  [http-nio-8719-exec-2] [com.petrel.user.controller.LoginRegisterController] : Lobby Exit: 423944527471 3
